mmu00010,Glycolysis / Gluconeogenesis
110695,Aldh7a1
23923,Aadat
209692,Dhtkd1
78920,Dlst
13382,Dld
270076,Gcdh
97212,Hadha
74147,Ehhadh
93747,Echs1
15107,Hadh
110460,Acat2
110446,Acat1
235386,Hykk
72947,Phykpl
19193,Pipox
73582,Camkmt
214162,Kmt2a
381022,Kmt2d
231051,Kmt2c
75410,Kmt2b
69188,Kmt2e
233904,Setd1a
208043,Setd1b
73251,Setd7
213389,Prdm9
192195,Ash1l
12180,Smyd1
226830,Smyd2
69726,Smyd3
20937,Suv39h1
64707,Suv39h2
110147,Ehmt2
77683,Ehmt1
84505,Setdb1
239122,Setdb2
107303348,Gm45935
110593,Prdm2
14055,Ezh1
14056,Ezh2
18193,Nsd1
107823,Nsd2
234135,Nsd3
74729,Setmar
235626,Setd2
208266,Dot1l
67956,Kmt5a
225518,Prdm6
232811,Kmt5c
225888,Kmt5b
192289,Tmlhe
11669,Aldh2
11671,Aldh3a2
72535,Aldh1b1
56752,Aldh9a1
170442,Bbox1
18822,Plod1
26432,Plod2
26433,Plod3
234407,Colgalt1
269132,Colgalt2
mmu00330,Arginine and proline metabolism
67092,Gatm
14431,Gamt
12716,Ckmt1
12709,Ckb
12715,Ckm
76722,Ckmt2
242669,Azin2
75986,Agmat
18263,Odc1
332942,Ldc1
20810,Srm
20603,Sms
11702,Amd1
100041585,Amd2
243376,Doxl2
243377,Svs1
69761,Doxl1
76507,Aoc1
228608,Smox
11669,Aldh2
11671,Aldh3a2
72535,Aldh1b1
110695,Aldh7a1
56752,Aldh9a1
338403,Cndp1
66054,Cndp2
107239,Carns1
20229,Sat1
69215,Sat2
17161,Maoa
109731,Maob
18125,Nos1
18126,Nos2
18127,Nos3
11846,Arg1
11847,Arg2
18242,Oat
209027,Pycr1
69051,Pycr2
66194,Pycrl
19125,Prodh
212647,Aldh4a1
56454,Aldh18a1
66988,Lap3
18452,P4ha2
18451,P4ha1
320452,P4ha3
56189,Prodh2
14718,Got1
14719,Got2
67432,Hoga1
13142,Dao
67217,L3hypdh
mmu00340,Histidine metabolism
15109,Hal
243537,Uroc1
71761,Amdhd1
14317,Ftcd
15186,Hdc
243376,Doxl2
243377,Svs1
69761,Doxl1
76507,Aoc1
11669,Aldh2
11671,Aldh3a2
72535,Aldh1b1
110695,Aldh7a1
56752,Aldh9a1
11484,Aspa
140483,Hnmt
17161,Maoa
109731,Maob
11670,Aldh3a1
56847,Aldh1a3
67689,Aldh3b1
621603,Aldh3b2
73458,Aldh3b3
107239,Carns1
67383,Carnmt1
66054,Cndp2
338403,Cndp1
mmu00350,Tyrosine metabolism
14718,Got1
14719,Got2
234724,Tat
14204,Il4i1
100470,Lao1
100328588,Il4i1b
73988,4930438A08Rik
15445,Hpd
15233,Hgd
14874,Gstz1
14085,Fah
22173,Tyr
21823,Th
13190,Dct
22178,Tyrp1
13195,Ddc
13166,Dbh
18948,Pnmt
12846,Comt
791260,Tomt
17161,Maoa
109731,Maob
11754,Aoc3
237940,Aoc2
11670,Aldh3a1
56847,Aldh1a3
67689,Aldh3b1
621603,Aldh3b2
73458,Aldh3b3
11522,Adh1
11529,Adh7
26876,Adh4
11532,Adh5
22018,Tpo
213043,Aox2
11761,Aox1
71872,Aox4
71724,Aox3
68636,Fahd1
17319,Mif
mmu00360,Phenylalanine metabolism
18478,Pah
13195,Ddc
11754,Aoc3
237940,Aoc2
17161,Maoa
109731,Maob
11670,Aldh3a1
56847,Aldh1a3
67689,Aldh3b1
621603,Aldh3b2
73458,Aldh3b3
240549,Gm4952
14718,Got1
14719,Got2
234724,Tat
14204,Il4i1
100470,Lao1
100328588,Il4i1b
73988,4930438A08Rik
15445,Hpd
17319,Mif
107146,Glyat
64697,Keg1
mmu00380,Tryptophan metabolism
56720,Tdo2
15930,Ido1
209176,Ido2
71562,Afmid
98256,Kmo
70789,Kynu
107766,Haao
266645,Acmsd
237320,Aldh8a1
209692,Dhtkd1
78920,Dlst
13382,Dld
270076,Gcdh
97212,Hadha
74147,Ehhadh
93747,Echs1
15107,Hadh
110460,Acat2
110446,Acat1
229905,Kyat3
70266,Kyat1
23923,Aadat
21990,Tph1
216343,Tph2
13195,Ddc
17161,Maoa
109731,Maob
11669,Aldh2
11671,Aldh3a2
72535,Aldh1b1
110695,Aldh7a1
56752,Aldh9a1
213043,Aox2
11761,Aox1
71872,Aox4
71724,Aox3
107626,Asmt
11298,Aanat
13076,Cyp1a1
13077,Cyp1a2
13078,Cyp1b1
21743,Inmt
14204,Il4i1
100470,Lao1
100328588,Il4i1b
73988,4930438A08Rik
243376,Doxl2
243377,Svs1
69761,Doxl1
76507,Aoc1
12359,Cat
mmu00400,Phenylalanine; tyrosine and tryptophan biosynthesis
14718,Got1
14719,Got2
234724,Tat
14204,Il4i1
100470,Lao1
100328588,Il4i1b
73988,4930438A08Rik
18478,Pah
mmu00410,beta-Alanine metabolism
73748,Gadl1
14415,Gad1
14417,Gad2
338403,Cndp1
107239,Carns1
66054,Cndp2
268860,Abat
228608,Smox
11754,Aoc3
237940,Aoc2
11669,Aldh2
11671,Aldh3a2
72535,Aldh1b1
110695,Aldh7a1
56752,Aldh9a1
11670,Aldh3a1
56847,Aldh1a3
67689,Aldh3b1
621603,Aldh3b2
73458,Aldh3b3
99586,Dpyd
64705,Dpys
103149,Upb1
227095,Hibch
97212,Hadha
74147,Ehhadh
93747,Echs1
11409,Acads
80911,Acox3
11430,Acox1
56690,Mlycd
104776,Aldh6a1
mmu00430,Taurine and hypotaurine metabolism
12583,Cdo1
14415,Gad1
14417,Gad2
246277,Csad
73748,Gadl1
211488,Ado
207182,Ggt7
71522,Ggt6
14598,Ggt1
23887,Ggt5
12012,Baat
mmu00440,Phosphonate and phosphinate metabolism
68671,Pcyt2
28042,Selenoi
99712,Cept1
13026,Pcyt1a
236899,Pcyt1b
212862,Chpt1
mmu00450,Selenocompound metabolism
229905,Kyat3
70266,Kyat1
238505,Mtr
107869,Cth
50880,Scly
50493,Txnrd1
232223,Txnrd3
26462,Txnrd2
21743,Inmt
23972,Papss2
23971,Papss1
20768,Sephs2
109079,Sephs1
214580,Pstk
211006,Sepsecs
216443,Mars1
212679,Mars2
mmu00471,D-Glutamine and D-glutamate metabolism
216456,Gls2
14660,Gls
14661,Glud1
217830,Dglucy
mmu00472,D-Arginine and D-ornithine metabolism
13142,Dao
mmu00480,Glutathione metabolism
207182,Ggt7
71522,Ggt6
14598,Ggt1
23887,Ggt5
110175,Ggct
69065,Chac1
68044,Chac2
75475,Oplah
14629,Gclc
14630,Gclm
14854,Gss
66988,Lap3
16790,Anpep
14858,Gsta2
14859,Gsta3
14860,Gsta4
14862,Gstm1
14863,Gstm2
14866,Gstm5
14867,Gstm6
14871,Gstt1
14872,Gstt2
14873,Gsto1
14864,Gstm3
66447,Mgst3
14857,Gsta1
56615,Mgst1
68214,Gsto2
68312,Gstm7
14865,Gstm4
211666,Mgst2
103140,Gstt3
75886,Gstt4
14870,Gstp1
14869,Gstp2
225884,Gstp3
76263,Gstk1
54486,Hpgds
68396,Nat8
66116,Nat8f1
100043497,Nat8f7
100504710,Nat8f6
93673,Nat8f2
14782,Gsr
15926,Idh1
269951,Idh2
110208,Pgd
14380,G6pd2
14381,G6pdx
66073,Txndc12
625249,Gpx4
14775,Gpx1
14776,Gpx2
14778,Gpx3
14780,Gpx5
67305,Gpx7
75512,Gpx6
69590,Gpx8
11758,Prdx6
320769,Prdx6b
18263,Odc1
332942,Ldc1
20810,Srm
20603,Sms
20133,Rrm1
